RSS,elapsed,cpu.sys,.user,minor_pagefault,major_pagefault,inv_cxt_sw,vol_cxt_sw,version,execution
1568,0:00.14,0.00,0.33,0,84,210,3,unprotected,1
1516,0:00.09,0.00,0.08,0,82,17,4,protected,1
1660,0:00.14,0.00,0.36,0,85,89,2,unprotected,2
1608,0:00.08,0.00,0.08,0,81,5,4,protected,2
1532,0:00.15,0.00,0.39,0,86,120,2,unprotected,3
1640,0:00.08,0.00,0.08,0,81,13,4,protected,3
1588,0:00.14,0.00,0.32,0,87,140,3,unprotected,4
1632,0:00.07,0.00,0.07,0,83,1,4,protected,4
1588,0:00.15,0.00,0.39,0,86,148,3,unprotected,5
1724,0:00.09,0.00,0.08,0,82,8,4,protected,5
1588,0:00.13,0.00,0.26,0,87,186,2,unprotected,6
1632,0:00.09,0.00,0.08,0,84,10,4,protected,6
1588,0:00.15,0.00,0.36,0,87,128,3,unprotected,7
1644,0:00.08,0.00,0.08,0,80,14,4,protected,7
1564,0:00.14,0.00,0.36,0,83,88,4,unprotected,8
1644,0:00.07,0.00,0.07,0,81,2,4,protected,8
1564,0:00.14,0.00,0.38,0,83,55,2,unprotected,9
1516,0:00.08,0.00,0.07,0,82,2,4,protected,9
1588,0:00.13,0.00,0.36,0,87,180,3,unprotected,10
1644,0:00.07,0.00,0.07,0,80,6,4,protected,10
1532,0:00.14,0.00,0.42,0,87,55,2,unprotected,11
1520,0:00.07,0.00,0.07,0,82,5,4,protected,11
1620,0:00.15,0.00,0.43,0,86,70,4,unprotected,12
1664,0:00.08,0.00,0.07,0,84,6,4,protected,12
1612,0:00.14,0.00,0.39,0,85,106,3,unprotected,13
1520,0:00.08,0.00,0.08,0,80,7,4,protected,13
1612,0:00.13,0.00,0.32,0,83,67,2,unprotected,14
1556,0:00.07,0.00,0.07,0,81,3,4,protected,14
1592,0:00.15,0.00,0.42,0,88,33,3,unprotected,15
1520,0:00.07,0.00,0.07,0,82,4,4,protected,15
1620,0:00.13,0.00,0.33,0,86,80,3,unprotected,16
1628,0:00.08,0.00,0.07,0,85,7,4,protected,16
1620,0:00.13,0.00,0.36,0,87,54,2,unprotected,17
1520,0:00.08,0.00,0.08,0,81,2,4,protected,17
1528,0:00.13,0.00,0.34,0,85,82,2,unprotected,18
1632,0:00.07,0.00,0.07,0,82,1,4,protected,18
1564,0:00.13,0.00,0.34,0,84,65,2,unprotected,19
1612,0:00.07,0.00,0.07,0,84,4,4,protected,19
1512,0:00.13,0.00,0.35,0,85,71,2,unprotected,20
1556,0:00.08,0.00,0.08,0,82,13,4,protected,20
1584,0:00.14,0.00,0.40,0,88,84,2,unprotected,21
1608,0:00.08,0.00,0.07,0,80,15,4,protected,21
1528,0:00.13,0.00,0.37,0,86,83,4,unprotected,22
1556,0:00.08,0.00,0.07,0,82,11,4,protected,22
1532,0:00.13,0.00,0.34,0,85,56,2,unprotected,23
1608,0:00.08,0.00,0.08,0,81,4,4,protected,23
1532,0:00.15,0.00,0.41,0,84,94,3,unprotected,24
1632,0:00.07,0.00,0.07,0,83,2,4,protected,24
1584,0:00.13,0.00,0.36,0,87,103,3,unprotected,25
1656,0:00.08,0.00,0.08,0,81,16,4,protected,25
1672,0:00.13,0.00,0.31,0,85,88,3,unprotected,26
1652,0:00.08,0.00,0.08,0,82,11,4,protected,26
1512,0:00.14,0.00,0.38,0,85,77,3,unprotected,27
1520,0:00.08,0.00,0.07,0,81,3,4,protected,27
1656,0:00.13,0.00,0.37,0,84,24,2,unprotected,28
1572,0:00.08,0.00,0.08,0,82,4,4,protected,28
1568,0:00.15,0.00,0.41,0,84,81,2,unprotected,29
1656,0:00.08,0.00,0.07,0,81,7,4,protected,29
1540,0:00.13,0.00,0.35,0,84,103,2,unprotected,30
1520,0:00.08,0.00,0.08,0,81,4,4,protected,30
1672,0:00.13,0.00,0.34,0,86,54,2,unprotected,31
1652,0:00.08,0.00,0.07,0,81,11,4,protected,31
1672,0:00.13,0.00,0.33,0,86,87,4,unprotected,32
1644,0:00.08,0.00,0.07,0,80,3,4,protected,32
1532,0:00.14,0.00,0.35,0,86,144,2,unprotected,33
1660,0:00.07,0.00,0.07,0,82,5,4,protected,33
1568,0:00.15,0.00,0.42,0,87,103,2,unprotected,34
1652,0:00.08,0.00,0.07,0,82,4,4,protected,34
1568,0:00.15,0.00,0.41,0,85,56,3,unprotected,35
1664,0:00.07,0.00,0.07,0,83,1,4,protected,35
1512,0:00.14,0.00,0.37,0,85,58,3,unprotected,36
1516,0:00.07,0.00,0.07,0,83,9,4,protected,36
1588,0:00.13,0.00,0.36,0,87,98,4,unprotected,37
1656,0:00.08,0.00,0.08,0,82,2,4,protected,37
1532,0:00.15,0.00,0.41,0,85,47,3,unprotected,38
1640,0:00.08,0.00,0.08,0,82,9,4,protected,38
1740,0:00.15,0.00,0.35,0,86,78,4,unprotected,39
1516,0:00.08,0.00,0.07,0,82,5,4,protected,39
1588,0:00.14,0.00,0.31,0,87,439,3,unprotected,40
1516,0:00.08,0.00,0.08,0,81,8,4,protected,40
1664,0:00.14,0.00,0.39,0,84,144,2,unprotected,41
1656,0:00.08,0.00,0.07,0,81,10,4,protected,41
1656,0:00.14,0.00,0.35,0,85,95,3,unprotected,42
1640,0:00.08,0.00,0.07,0,83,2,4,protected,42
1588,0:00.14,0.00,0.40,0,87,74,3,unprotected,43
1516,0:00.08,0.00,0.08,0,82,2,4,protected,43
1564,0:00.15,0.00,0.40,0,83,61,3,unprotected,44
1644,0:00.08,0.00,0.07,0,82,5,4,protected,44
1528,0:00.13,0.00,0.34,0,86,88,3,unprotected,45
1612,0:00.09,0.00,0.08,0,83,12,4,protected,45
1620,0:00.14,0.00,0.40,0,85,60,1,unprotected,46
1608,0:00.08,0.00,0.08,0,81,3,4,protected,46
1568,0:00.13,0.00,0.34,0,85,78,2,unprotected,47
1656,0:00.08,0.00,0.07,0,80,15,4,protected,47
1532,0:00.13,0.00,0.37,0,87,62,3,unprotected,48
1644,0:00.08,0.00,0.08,0,81,12,4,protected,48
1740,0:00.13,0.00,0.36,0,86,61,3,unprotected,49
1632,0:00.08,0.00,0.07,0,83,12,4,protected,49
1508,0:00.13,0.00,0.36,0,84,59,4,unprotected,50
1724,0:00.08,0.00,0.08,0,83,12,4,protected,50
